feature,importance
activity_min,0.14494656354350888
high_activity_fraction,0.12182683319501254
activity_iqr,0.10930464740680612
daily_max_variability,0.10395851099620694
day_variability,0.0774016942596063
autocorr_lag2,0.07108940038344135
activity_mean,0.05271276837700735
num_peaks,0.05226276466703933
mean_daily_std,0.052079963558555945
autocorr_lag1,0.051911664478804756
trend,0.041845348137228386
mean_daily_max,0.04003754241958908
activity_max,0.03250353076778676
entropy,0.025336935974495566
day_range,0.022781821112047233
activity_std,0.0
coefficient_of_variation,0.0
low_activity_fraction,0.0
sleep_cycles,0.0
